"","celltype","bias","pvalue_adj"
"1","CD4 Eff/Mem",0.999847193980647,0.999999999999997
"2","B cell",0.000191617630834083,0.0011497057850045
"3","NK/ILC",0.999989381497291,0.999999999999997
"4","Monocyte/DC",1.37776948170968e-27,1.65332337805162e-26
"5","CD4 Naive",0.014521407844425,0.0435642235332751
"6","CD8 Eff/Mem",0.999999999999997,0.999999999999997
"7","CD8 Naive",0.00418290299511502,0.0167316119804601
"8","Treg",0.811249956956537,0.999999999999997
"9","dnT",0.715580082995586,0.999999999999997
"10","MAIT",0.88580784498549,0.999999999999997
"11","HSPC",0.574164415988877,0.999999999999997
"12","gdT",0.963912457055005,0.999999999999997
