"","celltype","bias","pvalue_adj"
"1","CD8 Eff/Mem",0.999989173720656,0.999989173720656
"2","Monocyte/DC",0.0432711586280924,0.173084634512369
"3","CD4 Eff/Mem",0.99990049594114,0.999989173720656
"4","dnT",0.123501827230538,0.29640438535329
"5","NK/ILC",0.459373560199798,0.918747120399596
"6","CD8 Naive",7.82128577040929e-14,9.38554292449115e-13
"7","HSPC",0.00153130148502153,0.00918780891012919
"8","gdT",0.0977476554884335,0.2932429664653
"9","B cell",0.932107325034509,0.999989173720656
"10","Treg",0.940427283140806,0.999989173720656
"11","CD4 Naive",0.999784565982142,0.999989173720656
"12","MAIT",0.60851584060826,0.999989173720656
