,feature,stat,CTRL,KI36,KIA2,All
1,nCount_ATAC,min,1015,1009,1142,1009
2,nCount_ATAC,q05,1728.35,1418.8,3158,1725.1
3,nCount_ATAC,median,3917.5,3748,7959,5078
4,nCount_ATAC,q95,7814.69999999999,9926.2,15279.85,13235
5,nCount_ATAC,max,16408,16321,19835,19835
6,mtDNA_depth,min,5.01,5.47,5.05,5.01
7,mtDNA_depth,q05,5.53,10.67,16.3095,6.85
8,mtDNA_depth,median,10.815,27.81,43.935,27.96
9,mtDNA_depth,q95,27.9375,64.1759999999999,87.0035,74.413
10,mtDNA_depth,max,81.52,206.32,179.24,206.32
11,mtDNA_depth_norm,min,0.00062962962962963,0.000546835949215235,0.000447397191152973,0.000447397191152973
12,mtDNA_depth_norm,q05,0.00133970337662699,0.00308754306632214,0.00254337376843784,0.00180188460936383
13,mtDNA_depth_norm,median,0.0029792233113546,0.00741126830479027,0.00559803944815973,0.00531067445565587
14,mtDNA_depth_norm,q95,0.00653499165411391,0.0162694290341993,0.0100021117454884,0.0129264243319384
15,mtDNA_depth_norm,max,0.0370522707797772,0.0694320843091335,0.0388277202072539,0.0694320843091335
