,pos,H05,H47,M29,M35,M60,M80
1,3,7.68277887746632,8.71968402385942,14.0287008011146,11.0262049602246,11.9533590485374,12.2513144890295
2,4,8.00463571930273,9.09421247783331,14.6188784395681,11.4671034160037,12.4489553198329,12.7001779007709
3,5,8.26556414022093,9.42147348057392,15.1283873214908,11.8427390422711,12.8836708453873,13.0551887724847
4,6,8.55827852627546,9.80303079155247,15.6421455938697,12.221431913898,13.2861137897782,13.400553469065
5,7,9.07394163846498,10.4110269224569,16.4445837687217,12.8389642801435,13.9578270652523,14.0237201027871
6,8,9.62984483749441,11.0818313719168,17.3350400557297,13.5499610045235,14.6771777563484,14.7099031429136
7,9,10.1675755060341,11.7172658391101,18.1664576802508,14.2267352987053,15.3877209900354,15.3899584898201
8,10,10.7153183066215,12.3669514750927,19.0304423545803,14.925191077835,16.0780135004822,16.0847598339593
9,11,11.1645233382287,12.8969853296792,19.7512365029606,15.511995008579,16.7189328190292,16.671199841866
10,12,11.4267543579593,13.2206351765275,20.212539184953,15.8871626891281,17.1263580842173,17.0263293140937
11,13,11.6443394419258,13.5052071578269,20.6360501567398,16.225269068788,17.4728383156541,17.3116821506227
12,14,11.8242768661005,13.7333225858456,20.9967607105538,16.5184838558727,17.8109932497589,17.5559201423206
13,15,12.342723963987,14.3220699661454,21.9513409961686,17.2496646389019,18.5496303439409,18.2130065230283
14,16,12.8296788199987,14.8704175399,22.844061302682,17.9377008267041,19.3212793314047,18.8331290768927
15,17,13.7257901794266,15.8498468482992,24.3253918495298,19.0738418343472,20.5355512696882,19.9675034591817
16,18,14.6508524359875,16.7947122360148,25.7370602577499,20.1450319762907,21.7696239151398,21.172366080253
17,19,15.712585403231,17.9136224407545,27.3910832462557,21.4137264077367,23.1645773063324,22.527021150425
18,20,16.4385543707298,18.6866677414154,28.4935910832463,22.2801435033536,24.1697846351655,23.4869737102194
19,21,17.1561841517144,19.4531355795583,29.6016370602578,23.1522383403525,25.1282545805207,24.4391777031034
20,22,17.447927973948,19.7664355956795,30.0930686172066,23.5561690843862,25.624943747991,24.8597746590235
21,23,17.7099035821467,20.0978236337256,30.6181469871125,23.9863359850257,26.1031179684989,25.2056928246689
22,24,17.8595491986463,20.2886345316782,30.9369905956113,24.2427078458899,26.4031822565092,25.4103182447124
23,25,17.95863610242,20.4050943092052,31.1275862068966,24.4085790048354,26.6307296689167,25.5707056730579
24,26,18.2168316199476,20.6911172013542,31.5489028213166,24.7546716580877,26.9541305046609,25.9459181656454
25,27,18.5858629717132,21.0810253103337,32.0926158133055,25.1994072687568,27.354387656702,26.4179482111089
26,28,18.9387395440904,21.4337256166371,32.5757227446883,25.5985025737014,27.7187399549984,26.8812413520459
27,29,19.3733605772301,21.87070772207,33.150052246604,26.0755576353143,28.1287367405979,27.4404823087567
28,30,19.8535470276483,22.3389005320006,33.7692093347266,26.5818125097489,28.5790421086467,28.041114844831
29,31,20.2343528510312,22.7134289859745,34.2383141762452,26.9708313835595,28.8995821279331,28.4857481715754
30,32,20.4859970627674,22.9897146541996,34.5912922326715,27.2647948837935,29.1332369013179,28.8097252421427
31,33,20.8141753400166,23.356633886829,35.0288401253919,27.6310092029325,29.4373191899711,29.1859260723463
32,34,21.022259114999,23.5915202321457,35.294113549286,27.8585868039307,29.7602057216329,29.4176714765764
33,35,21.188276610689,23.7631468644204,35.4212817833508,27.9836530962408,29.9902282224365,29.5630757066614
34,36,21.3355724410957,23.8372400451394,35.3921978404737,27.9864295741694,30.1059787849566,29.7059893259537
35,37,21.5582146733925,24.0090923746574,35.4686172065482,28.0706286070816,30.5743490838958,29.902391777031
36,38,21.7415107592108,24.0924391423505,35.4480668756531,28.0578068944002,30.9412729026037,30.0709231073335
37,39,22.5280122597535,24.7553764307593,36.1395680947405,28.6149430666043,31.1153005464481,30.844237991698
38,40,23.3071706787561,25.4189263259713,36.8856495994427,29.2096396817969,31.4228543876567,31.6345127495552
39,41,24.0851797458655,26.1695953570853,37.790456287008,29.9226641709562,32.233719061395,32.4101601106938
40,42,24.7398505842539,26.7677575366758,38.522082897945,30.4946498206208,32.7024108003857,33.0743625222376
41,43,25.3880211991571,27.3797517330324,39.2863113897597,31.100639525815,33.0084217293475,33.7316070369638
42,44,25.4176617074261,27.4145735934225,39.3465343086033,31.135267508969,33.3505946640951,33.7812215852935
43,45,25.5482280824979,27.5654360793165,39.548275862069,31.2718452659491,33.8067823850852,33.9047242538051
44,46,25.7247557627227,27.8313074318878,39.9387669801463,31.5357354546873,33.9934426229508,34.0297687289978
45,47,25.9347423536173,28.2121876511365,40.4942180424939,31.9128061144907,34.0732883317261,34.1549713382091
46,48,25.722993423153,28.0772206996615,40.3515499825845,31.7442832631415,34.3576663452266,33.7937932397707
47,49,25.4421939850584,27.9024020635177,40.1583420411007,31.5354858836375,34.1702346512375,33.3806681162285
48,50,25.1628376221186,27.6679671126874,39.9570184604667,31.2987677429418,33.9277724204436,32.9596362917573
49,51,24.7955686099227,27.3003385458649,39.5513758272379,30.9022617376384,33.4531018964963,32.4854319035382
50,52,24.5106059638593,26.9361276801548,39.1408568443051,30.5097488691312,32.945387335262,32.1174540423008
51,53,24.6077389694145,27.0397549572787,39.3491118077325,30.6054905630947,32.1691738990678,32.1996837319628
52,54,24.7824532277632,27.1418345961632,39.6538836642285,30.7689907970675,31.8139504982321,32.3291164261712
53,55,24.7977523785199,27.109495405449,39.6991640543365,30.7760723756044,31.4012214721954,32.2988732951176
54,56,24.7261988378775,26.9290665806868,39.5237896203413,30.6434253626579,31.2115718418515,32.1747380905317
55,57,24.60509546006,26.6710301467032,39.2423197492163,30.4452347527687,31.2326583092253,32.0120972524214
56,58,24.4989336568546,26.4497823633726,39.0137931034483,30.2902511308688,31.5402121504339,31.8633326744416
57,59,24.4809654555903,26.2615508624859,38.767154301637,30.1951021681485,32.0536804885889,31.7379719312117
58,60,24.5717259434263,26.2072867967113,38.7225008707767,30.2364685696459,32.520668595307,31.7424392172366
59,61,24.9047314986272,26.1932613251652,38.7895158481365,30.4336920917174,33.0227258116361,31.8655070171971
60,62,25.2194751293021,26.1410930195067,38.8336119818878,30.6105443768523,33.410575377692,31.9616920339988
61,63,25.4819487899879,26.0687731742705,38.7324625566005,30.6876618312276,33.7259723561556,31.9676615932002
62,64,25.6773130706851,25.981202643882,38.563148728666,30.6449851817189,33.7732883317261,31.9617711010081
63,65,25.9120490390141,26.0393358052555,38.6138975966562,30.7400405552956,34.0163612986178,31.9887724846808
64,66,25.9801928357065,26.1408673222634,38.6544757924068,30.7326782093277,33.9955641272902,31.9935165052382
65,67,26.1067237085754,26.4504594551024,38.9306513409961,30.7811885821245,34.1435551269688,32.1379719312117
66,68,26.1066087733861,26.743511204256,39.1676071055381,30.6773046326626,34.1645130183221,32.2561375765962
67,69,26.2492561139135,27.2552313396744,39.612434691745,30.7002027764779,34.4379299260688,32.518442379917
68,70,26.1859140540195,27.4809930678704,39.6458028561477,30.3637810014038,34.3370620379299,32.6312314686697
69,71,26.4061809590703,27.8284700951153,39.7932427725531,30.2029636562159,34.4088396014143,32.8464518679581
70,72,26.5410637890301,28.0003546670966,39.7093695576454,29.9759787864608,34.2879459980713,32.9097845423997
71,73,26.9541280888832,28.3312913106561,39.9436433298502,30.0937451255654,34.5189971070395,33.17046847203
72,74,27.1339250367154,28.3466064807351,39.8875653082549,30.0426766495087,34.5486660237865,33.1750938920735
73,75,27.4586424877083,28.4731581492826,39.9707767328457,30.1904227109655,34.6909032465445,33.2572840482309
74,76,27.7291999233765,28.4926003546671,40.0372344130965,30.3679301201061,34.8091288974606,33.2413915793635
75,77,27.9801928357065,28.4498790907625,40.0514803204458,30.525191077835,34.8648344583735,33.1613757659617
76,78,28.7789540897771,28.5562792197324,40.463601532567,31.0493838714709,35.1965284474445,33.3097054753904
