Position	MLC_pos_score
1	0.65755
2	0.64832
3	0.63872
4	0.63214
5	0.62584
6	0.61401
7	0.59916
8	0.58365
9	0.57282
10	0.5692
11	0.5691
12	0.56645
13	0.56723
14	0.56841
15	0.57173
16	0.57804
17	0.58471
18	0.58658
19	0.5943
20	0.59714
21	0.60212
22	0.60287
23	0.60674
24	0.61138
25	0.60849
26	0.59732
27	0.57943
28	0.55522
29	0.5271
30	0.48506
31	0.44671
32	0.40585
33	0.34803
34	0.29531
35	0.25415
36	0.21794
37	0.18794
38	0.16253
39	0.13489
40	0.11401
41	0.09705
42	0.0787
43	0.06886
44	0.05679
45	0.0472
46	0.03368
47	0.02378
48	0.01762
49	0.01267
50	0.01062
51	0.00881
52	0.00664
53	0.00441
54	0.00362
55	0.0026
56	0.00229
57	0.00199
58	0.00175
59	0.00151
60	0.00127
61	0.00115
62	0.00109
63	0.00121
64	0.00145
65	0.00157
66	0.00169
67	0.00193
68	0.00205
69	0.00223
70	0.00241
71	0.00253
72	0.00338
73	0.00392
74	0.00447
75	0.00658
76	0.00863
77	0.01038
78	0.01183
79	0.01364
80	0.0175
81	0.02137
82	0.02577
83	0.03169
84	0.03814
85	0.04533
86	0.05046
87	0.05384
88	0.0574
89	0.06162
90	0.06554
91	0.0685
92	0.07049
93	0.07261
94	0.07556
95	0.07924
96	0.08359
97	0.08751
98	0.09174
99	0.09578
100	0.09934
101	0.10194
102	0.10465
103	0.10562
104	0.10652
105	0.1061
106	0.10483
107	0.10399
108	0.10444
109	0.10417
110	0.10502
111	0.10628
112	0.10664
113	0.10622
114	0.10538
115	0.10556
116	0.10658
117	0.10695
118	0.10779
119	0.10966
120	0.11069
121	0.11002
122	0.11036
123	0.10996
124	0.10876
125	0.10677
126	0.10489
127	0.1029
128	0.10085
129	0.09862
130	0.09696
131	0.09506
132	0.09316
133	0.08969
134	0.08745
135	0.08498
136	0.08329
137	0.08172
138	0.08157
139	0.08184
140	0.08232
141	0.08299
142	0.08293
143	0.08335
144	0.08474
145	0.08655
146	0.08736
147	0.08884
148	0.09014
149	0.09065
150	0.08981
151	0.09132
152	0.09198
153	0.09325
154	0.09488
155	0.09638
156	0.09687
157	0.09741
158	0.09717
159	0.0975
160	0.09777
161	0.09807
162	0.09925
163	0.10007
164	0.10034
165	0.09982
166	0.09783
167	0.09494
168	0.08987
169	0.08437
170	0.07792
171	0.07321
172	0.07037
173	0.0682
174	0.06512
175	0.06066
176	0.05649
177	0.05341
178	0.05115
179	0.04895
180	0.04635
181	0.04345
182	0.03875
183	0.03597
184	0.03241
185	0.02933
186	0.02764
187	0.02662
188	0.02541
189	0.02487
190	0.02432
191	0.02336
192	0.02281
193	0.02257
194	0.02269
195	0.02302
196	0.0239
197	0.02475
198	0.02565
199	0.0268
200	0.02819
201	0.03024
202	0.03217
203	0.03422
204	0.03645
205	0.03802
206	0.04273
207	0.04527
208	0.04689
209	0.04907
210	0.05058
211	0.05178
212	0.05378
213	0.0554
214	0.05752
215	0.06011
216	0.06174
217	0.06295
218	0.06428
219	0.06494
220	0.06579
221	0.06597
222	0.06563
223	0.06488
224	0.06397
225	0.06349
226	0.06289
227	0.06192
228	0.06198
229	0.06222
230	0.06168
231	0.06114
232	0.06053
233	0.05993
234	0.05815
235	0.05607
236	0.05444
237	0.05323
238	0.05215
239	0.05106
240	0.04985
241	0.04828
242	0.04581
243	0.04364
244	0.04279
245	0.04107
246	0.03884
247	0.03851
248	0.03893
249	0.03998
250	0.04086
251	0.04134
252	0.04219
253	0.04213
254	0.04207
255	0.04225
256	0.04161
257	0.04128
258	0.04068
259	0.03983
260	0.03977
261	0.03917
262	0.03857
263	0.03905
264	0.03947
265	0.0402
266	0.04047
267	0.04098
268	0.04122
269	0.04189
270	0.04249
271	0.04297
272	0.04352
273	0.04412
274	0.04418
275	0.04424
276	0.044
277	0.04264
278	0.03941
279	0.03694
280	0.0347
281	0.03301
282	0.03187
283	0.03175
284	0.03202
285	0.0315
286	0.0312
287	0.03096
288	0.03042
289	0.02994
290	0.02897
291	0.02831
292	0.02776
293	0.02788
294	0.02849
295	0.02957
296	0.03132
297	0.03277
298	0.03428
299	0.03546
300	0.037
301	0.0382
302	0.04092
303	0.04285
304	0.04382
305	0.04508
306	0.04575
307	0.04714
308	0.04961
309	0.05136
310	0.05299
311	0.05408
312	0.05462
313	0.05486
314	0.05498
315	0.05547
316	0.05565
317	0.05559
318	0.05655
319	0.05833
320	0.06023
321	0.0618
322	0.06361
323	0.06476
324	0.06542
325	0.06585
326	0.06609
327	0.06675
328	0.06705
329	0.06742
330	0.06802
331	0.06892
332	0.06959
333	0.07092
334	0.07273
335	0.07586
336	0.07943
337	0.08591
338	0.09101
339	0.0953
340	0.1013
341	0.109
342	0.11884
343	0.13115
344	0.14292
345	0.15758
346	0.16962
347	0.181
348	0.19023
349	0.19983
350	0.20846
351	0.21869
352	0.22817
353	0.23613
354	0.24446
355	0.25041
356	0.25578
357	0.26031
358	0.26607
359	0.27008
360	0.27401
361	0.27455
362	0.2712
363	0.26547
364	0.25771
365	0.24944
366	0.238
367	0.22443
368	0.21296
369	0.19989
370	0.18595
371	0.17171
372	0.15795
373	0.14253
374	0.13329
375	0.12445
376	0.11932
377	0.11606
378	0.11371
379	0.11147
380	0.11012
381	0.10933
382	0.10827
383	0.10933
384	0.11111
385	0.11334
386	0.11564
387	0.11763
388	0.11893
389	0.11968
390	0.11992
391	0.12083
392	0.12258
393	0.12578
394	0.13103
395	0.1361
396	0.14352
397	0.15475
398	0.16519
399	0.17533
400	0.18806
401	0.20484
402	0.22207
403	0.24051
404	0.25834
405	0.27527
406	0.29121
407	0.30439
408	0.31646
409	0.32956
410	0.3407
411	0.35265
412	0.36315
413	0.36994
414	0.37332
415	0.3789
416	0.38086
417	0.3859
418	0.38819
419	0.39504
420	0.40337
421	0.41197
422	0.41855
423	0.42214
424	0.42079
425	0.41653
426	0.40811
427	0.39176
428	0.37546
429	0.35618
430	0.33131
431	0.30729
432	0.28674
433	0.26673
434	0.24528
435	0.22421
436	0.20656
437	0.18885
438	0.17424
439	0.16139
440	0.14431
441	0.12614
442	0.11208
