,seqnames,start,end,strand,name,idx,Log2FC,FDR,MeanDiff
11982,chr19,28727777,28435388,2,LOC100420587,686,3.04814244295064,7.5823235768604e-131,1.2148788794144
6913,chr14,23094765,23100462,1,C14orf119,95,4.75981883337649,2.67786442091294e-125,3.81283323389172
6914,chr14,23119616,23117304,2,CEBPE,96,4.48248232385983,9.40444022153694e-125,9.00325067030565
18558,chr5,8457564,8333481,2,LINC02226,65,3.36767335518298,2.30937891839474e-119,1.80215442738858
12346,chr19,44259880,44275317,1,ZNF233,1050,3.21221841233512,7.98484041801653e-111,0.75986778016709
12344,chr19,44207547,44237268,1,ZNF227,1048,2.82402215562917,4.05374143299433e-110,0.881352416590843
12164,chr19,38647649,38731583,1,ACTN4,868,1.80544427927166,3.36670116198507e-109,1.3141190193757
12345,chr19,44305046,44228729,2,ZNF235,1049,2.57918779623826,1.15679235385613e-107,0.643420753776857
11994,chr19,30228514,30713538,1,ZNF536,698,1.63461407622177,3.54360858461688e-107,1.71938110450669
11981,chr19,27793463,27984984,1,LOC101927151,685,2.3672924737059,2.61623308567105e-106,0.745057163252854
23325,chr9,79571773,79726882,1,TLE4,348,-1.69152346543585,3.87297938063151e-105,-1.93441599554633
6575,chr13,67230445,66302834,2,PCDH9,316,-1.60436064693725,6.30201915104823e-104,-3.813913605273
12337,chr19,44025354,44089613,1,ZNF284,1041,2.5765822624893,2.09257333382997e-102,0.633156477573345
12341,chr19,44112181,44134816,1,ZNF225,1045,2.46638967902539,1.94279883749824e-101,0.728182771764603
12340,chr19,44113145,44105463,2,LOC100379224,1044,2.51207129910407,7.62319722315375e-101,1.06244483240357
23975,chrX,3843857,3817528,2,LOC389906,12,-4.72142150964554,1.42718541138574e-96,-0.307198180602196
12231,chr19,40592883,40629818,1,LTBP4,935,1.31639537988828,1.24215768213027e-95,1.56355723997304
12021,chr19,34172504,34229515,1,LSM14A,725,1.70076499302334,3.62366478220684e-95,0.999369966752082
6566,chr13,62029548,62003525,2,LINC00358,307,-2.68167589018055,5.21363823317203e-95,-0.759947087155278
12018,chr19,33521794,33386950,2,PEPD,722,1.6750560795866,2.55860424247669e-93,0.854968989035689
12170,chr19,38852347,38817471,2,HNRNPL,874,1.13571749048791,9.2467968015309e-93,1.14808410262677
12147,chr19,37907228,38208372,1,SIPA1L3,851,1.35591216469401,2.26898307989852e-91,1.09866523353099
2932,chr10,77638595,76869601,2,KCNMA1,480,1.17287347993578,2.71842945292167e-91,1.58598425236493
12343,chr19,44165073,44178381,1,ZNF226,1047,2.17276056858804,6.62200647652827e-91,0.760246581762831
12338,chr19,44051367,44067991,1,ZNF223,1042,2.63190885777878,4.05801389866784e-90,0.573753415845136
12315,chr19,43525497,43536130,1,ZNF575,1019,1.92638500079161,5.5380924487868e-90,1.12118986245113
13235,chr2,40611053,40097270,2,SLC8A1,286,-1.9380757503895,4.96114993252226e-89,-0.90638335293425
12242,chr19,40801297,40898282,1,CYP2G1P,946,1.42787884593042,1.67576018301975e-88,0.910696145249317
11987,chr19,29525752,29287011,2,LOC284395,691,1.712575639538,8.0187208720743e-88,0.653002306629356
24578,chrX,112840815,112774503,2,AMOT,615,-1.9058224736933,1.67290286575257e-87,-0.67603503467866
11988,chr19,29526499,29564479,1,VSTM2B,692,2.21964667019413,1.76351621188496e-86,0.511132278344884
11983,chr19,28965131,28969148,1,LINC00906,687,2.91360541415775,1.96514082237134e-85,0.459334772378062
