,seqnames,start,end,strand,name,idx,Log2FC,FDR,MeanDiff
13827,chr2,133568463,132671799,2,NCKAP5,878,1.54288641569185,1.96574064682285e-68,1.32046592689305
15272,chr21,16070522,16627397,1,MIR99AHG,28,0.994591225707809,2.38093288720962e-39,0.955074062321198
13502,chr2,77593196,76747719,2,LRRTM4,553,1.09492182517974,1.91705294158962e-38,0.811491994166642
13537,chr2,85751344,85788066,1,ATOH8,588,1.38478450015761,4.67505611797002e-38,0.481693991864421
24144,chrX,40177329,40049815,2,BCOR,181,-0.922334243867348,4.88776555489324e-38,-1.1104518320017
18599,chr5,17217047,17130028,2,BASP1-AS1,106,1.2820308431091,8.41218148621106e-38,0.493482106904185
15251,chr21,7744962,34407866,1,SMIM11B,7,0.539815911317344,1.70600151954827e-37,13.0508725212794
15250,chr21,6859171,13724274,1,MIR8069-1,6,0.976811996165907,5.53433202173545e-36,1.28917008790988
10961,chr18,7566782,8406861,1,PTPRM,49,1.09155712097525,2.04547869368911e-35,0.540991876901866
13828,chr2,133264968,133284762,1,NCKAP5-AS2,879,1.95944628336529,3.16696028367326e-35,0.329730065196195
13510,chr2,79185231,80648861,1,CTNNA2,561,0.954911274805386,3.21525079103703e-35,1.12290357744576
18600,chr5,17387310,17378906,2,LINC02111,107,1.19329912378936,1.49912836355953e-34,0.508487911219298
15340,chr21,30480344,30479699,2,KRTAP19-1,96,2.36527340239997,2.16018288227754e-33,0.495393914819749
13551,chr2,86721122,86505668,2,RNF103-CHMP3,602,1.00295208430047,3.21878113643409e-33,0.509342080918791
24548,chrX,107777342,107713221,2,TSC22D3,585,-0.756563486782013,6.42518606279613e-33,-0.683852058336285
22338,chr8,37554183,37421341,2,LINC01605,258,-0.745882119983598,9.21519500800113e-33,-0.770897866327325
18584,chr5,14581775,14612720,1,OTULINL,91,1.28515014707618,4.04207150209407e-32,0.493350248811737
19262,chr5,141051135,141059344,1,PCDHB1,769,2.16087740003627,1.31421108775618e-31,0.239419958048828
18604,chr5,20575873,19472951,2,CDH18,111,0.729329525654905,2.59239165020769e-31,0.790923694488179
13545,chr2,86195770,86143932,2,IMMT,596,0.99746874199101,4.24904972653968e-30,0.460442074262678
6217,chr12,130162256,130144315,2,FZD10-DT,1232,-1.82481917889826,2.8769272969118e-29,-0.243258045517123
14694,chr20,18059188,17956979,2,OVOL2,165,-1.0161288047818,5.52642278883121e-29,-0.463927907754348
18546,chr5,6378594,6371881,2,MED10,53,1.32450572954369,5.52642278883121e-29,0.457428139620309
18598,chr5,17065598,17276843,1,BASP1,105,0.950276905736492,5.52642278883121e-29,0.510254143387257
19666,chr6,1605531,1606079,1,FOXCUT,11,-1.12308027571533,5.52642278883121e-29,-1.04143978155134
2811,chr10,61901300,62096944,1,ARID5B,359,0.703659601481384,6.86987477764605e-29,0.786127998087147
13520,chr2,84971093,85059472,1,KCMF1,571,0.888920344586495,8.3352699279277e-28,0.419359972615928
13553,chr2,86720173,86778041,1,RMND5A,604,1.35034041913897,1.74093005688763e-27,0.297900083804039
2525,chr10,11005321,11336675,1,CELF2,73,0.937826301900763,2.29323315804585e-27,0.525719965369142
15245,chr21,43076943,6444869,2,CBS,1,0.41460421048886,7.40360817058472e-27,15.6417874116582
15248,chr21,6560714,43172805,1,CRYAA,4,0.414615667553674,7.40360817058472e-27,15.6536574199968
15249,chr21,6561284,43172805,1,CRYAA2,5,0.414615667553674,7.40360817058472e-27,15.6536574199968
15246,chr21,43107578,6484623,2,U2AF1,2,0.414532478784593,7.51055023837778e-27,15.6427534205169
15247,chr21,43107587,6484661,2,U2AF1L5,3,0.414532478784593,7.51055023837778e-27,15.6427534205169
13549,chr2,86440647,86492716,1,KDM3A,600,0.984128406184644,8.28927600364929e-27,0.496152124125786
13547,chr2,86199355,86213794,1,MRPL35,598,1.12669469920444,1.29629864262384e-26,0.578280078660724
19073,chr5,125493261,125602227,1,LINC02240,580,0.796075433620277,1.44326361028205e-26,0.366564109095141
18578,chr5,10564330,10657816,1,ANKRD33B,85,0.838250862919519,1.5958741843408e-26,0.52592179210723
15339,chr21,30440275,30440945,1,KRTAP15-1,95,1.81839072615947,1.94362058582018e-26,0.305539826296979
18583,chr5,14143702,14532128,1,TRIO,90,0.553638605389126,2.44575043301194e-26,0.960618328644839
18611,chr5,27472292,27496401,1,PURPL,118,1.39394682366174,5.38734262388992e-26,0.385154037094013
22617,chr8,92103286,91954967,2,RUNX1T1,537,-1.18767988289389,5.38734262388992e-26,-0.317315869441887
4279,chr11,65422798,65445540,1,NEAT1,857,-1.20825427666497,7.22701330568124e-26,-0.502087997775307
13546,chr2,86193108,86193026,2,MIR4779,597,1.16836984476467,9.45158465723967e-26,1.23198617439747
14693,chr20,17968980,17941597,2,SNX5,164,-1.04210171627475,1.32114250711201e-25,-0.566187758421239
18547,chr5,6448623,6494909,1,UBE2QL1,54,1.20477620860108,1.34592292833221e-25,0.259296034433059
16313,chr3,31161787,31161704,2,MIR466,181,1.27899701105195,1.97090328940567e-25,0.877775779497954
24578,chrX,112840815,112774503,2,AMOT,615,-0.829539182586207,2.1121810062356e-25,-0.39395370094827
23790,chr9,131740074,131576770,2,RAPGEF1,813,0.974723018985092,7.58623386032321e-25,0.513016341081464
13565,chr2,88627576,88556741,2,EIF2AK3,616,0.898861500276967,8.55960744743671e-25,0.452338165181786
11940,chr19,20039506,19997058,2,ZNF682,644,2.08095225363886,3.4083793215107e-24,0.112375933019237
